question,votes,tags
Why is processing a sorted array faster than processing an unsorted array?,25886,"['java', 'c++', 'performance', 'cpu-architecture', 'branch-prediction']"
Why is subtracting these two times (in 1927) giving a strange result?,7232,"['java', 'date', 'timezone']"
"Is Java ""pass-by-reference"" or ""pass-by-value""?",7212,"['java', 'methods', 'parameter-passing', 'pass-by-reference', 'pass-by-value']"
How do I read / convert an InputStream into a String in Java?,4407,"['java', 'string', 'io', 'stream', 'inputstream']"
Avoiding NullPointerException in Java,4240,"['java', 'nullpointerexception', 'null']"
What are the differences between a HashMap and a Hashtable in Java?,4040,"['java', 'collections', 'hashmap', 'hashtable']"
Create ArrayList from array,3857,"['java', 'arrays', 'arraylist', 'type-conversion']"
Proper use cases for Android UserManager.isUserAGoat()?,3827,"['java', 'android', 'usermanager']"
How do I generate random integers within a specific range in Java?,3803,"['java', 'random', 'integer']"
"Why don't Java's +=, -=, *=, /= compound assignment operators require casting?",3756,"['java', 'casting', 'operators', 'variable-assignment', 'assignment-operator']"
Why is char[] preferred over String for passwords?,3646,"['java', 'string', 'security', 'passwords', 'char']"
How do I efficiently iterate over each entry in a Java Map?,3634,"['java', 'dictionary', 'collections', 'iteration']"
Iterate through a HashMap [duplicate],3584,"['java', 'loops', 'hashmap', 'iteration']"
How can I create a memory leak in Java?,3490,"['java', 'memory', 'memory-leaks']"
"What is the difference between public, protected, package-private and private in Java?",3401,"['java', 'private', 'public', 'protected', 'access-modifiers']"
When to use LinkedList over ArrayList in Java?,3363,"['java', 'arraylist', 'collections', 'linked-list']"
How do I convert a String to an int in Java?,3274,"['java', 'string', 'int', 'type-conversion']"
What is a serialVersionUID and why should I use it?,3209,"['java', 'serialization', 'serialversionuid']"
Initialization of an ArrayList in one line,3014,"['java', 'collections', 'arraylist', 'initialization']"
"How do I test a private function or a class that has private methods, fields or inner classes?",2959,"['java', 'unit-testing', 'tdd']"
"Why is printing ""B"" dramatically slower than printing ""#""?",2868,"['java', 'performance', 'loops', 'for-loop', 'system.out']"
How can I create an executable JAR with dependencies using Maven?,2652,"['java', 'maven-2', 'build-process', 'build-automation', 'executable-jar']"
How can I fix 'android.os.NetworkOnMainThreadException'?,2575,"['java', 'android', 'android-networking', 'networkonmainthread']"
Does a finally block always get executed in Java?,2550,"['java', 'error-handling', 'return', 'try-catch-finally']"
How do I determine whether an array contains a particular value in Java?,2471,"['java', 'arrays']"
How do I call one constructor from another in Java?,2463,"['java', 'constructor']"
What is reflection and why is it useful?,2334,"['java', 'reflection', 'terminology']"
"What's the difference between @Component, @Repository & @Service annotations in Spring?",2322,"['java', 'spring', 'spring-mvc', 'annotations']"
How do I declare and initialize an array in Java?,2276,"['java', 'arrays']"
"""implements Runnable"" vs ""extends Thread"" in Java",2242,"['java', 'multithreading', 'runnable', 'implements', 'java-threads']"
How to get an enum value from a string value in Java,2177,"['java', 'enums']"
What's the simplest way to print a Java array?,2166,"['java', 'arrays', 'printing']"
How do you assert that a certain exception is thrown in JUnit 4 tests?,2134,"['java', 'exception', 'junit', 'junit4', 'assert']"
What is a JavaBean exactly?,2047,"['java', 'javabeans', 'serializable']"
How to use java.net.URLConnection to fire and handle HTTP requests,2033,"['java', 'http', 'httprequest', 'httpurlconnection', 'urlconnection']"
How do I break out of nested loops in Java?,1948,"['java', 'loops', 'nested-loops']"
Comparing Java enum members: == or equals()?,1918,"['java', 'enums']"
Java inner class and static nested class,1905,"['java', 'inner-classes', 'static-classes']"
Does Java support default parameter values?,1881,"['java', 'methods', 'parameters', 'overloading', 'default-parameters']"
How to generate a random alpha-numeric string,1867,"['java', 'string', 'random', 'alphanumeric']"
"Why does this code using random strings print ""hello world""?",1834,"['java', 'string', 'random']"
How to split a string in Java,1797,"['java', 'string', 'split']"
"Sort a Map<Key, Value> by values",1766,"['java', 'sorting', 'dictionary', 'collections']"
"How can I avoid Java code in JSP files, using JSP 2?",1730,"['java', 'jsp', 'scriptlet']"
Why use getters and setters/accessors?,1697,"['java', 'oop', 'setter', 'getter', 'abstraction']"
Difference between StringBuilder and StringBuffer,1657,"['java', 'stringbuilder', 'stringbuffer']"
How do I create a Java string from the contents of a file?,1647,"['java', 'string', 'file', 'file-io', 'io']"
How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version,1641,"['java', 'jvm', 'incompatibility', 'unsupported-class-version']"
"What does ""Could not find or load main class"" mean?",1620,"['java', 'class', 'main']"
How can I convert a stack trace to a string?,1610,"['java', 'stack-trace', 'tostring']"
How does the Java 'for each' loop work?,1602,"['java', 'foreach', 'syntactic-sugar']"
Why does Java have transient fields?,1581,"['java', 'field', 'transient']"
Fastest way to determine if an integer's square root is an integer,1542,"['java', 'math', 'optimization', 'perfect-square']"
How can I concatenate two arrays in Java?,1487,"['java', 'arrays', 'concatenation', 'add']"
What exactly is Apache Camel?,1481,"['java', 'apache-camel', 'soa', 'enterprise-integration']"
Is null check needed before calling instanceof?,1466,"['java', 'nullpointerexception', 'null']"
How do I create a file and write to it?,1456,"['java', 'file-io']"
Why is executing Java code in comments with certain Unicode characters allowed?,1390,"['java', 'unicode', 'comments']"
How to add local jar files to a Maven project?,1379,"['java', 'maven', 'dependencies', 'libraries', 'mvn-repo']"
How to round a number to n decimal places in Java,1375,"['java', 'decimal', 'rounding', 'digits']"
How to directly initialize a HashMap (in a literal way)?,1356,"['java', 'dictionary', 'collections', 'initialization']"
'Must Override a Superclass Method' Errors after importing a project into Eclipse,1286,"['java', 'android', 'eclipse', 'overriding', 'superclass']"
Difference between wait() and sleep(),1277,"['java', 'multithreading', 'sleep', 'java-threads']"
"Iterating through a Collection, avoiding ConcurrentModificationException when removing objects in a loop",1257,"['java', 'collections', 'iteration']"
What are the -Xms and -Xmx parameters when starting JVM?,1240,"['java', 'memory-management', 'parameters', 'jvm']"
Sort ArrayList of custom Objects by property,1224,"['java', 'sorting', 'date', 'comparator']"
Android SDK installation doesn't find JDK,1222,"['java', 'android', 'sdk', 'windows-7-x64', 'jdk6']"
How to parse JSON in Java,1209,"['java', 'json', 'parsing']"
"How do servlets work? Instantiation, sessions, shared variables and multithreading",1201,"['java', 'multithreading', 'servlets', 'session-variables', 'instance-variables']"
How to get the current working directory in Java?,1201,"['java', 'java-io']"
Convert ArrayList<String> to String[] array [duplicate],1191,"['java', 'arrays', 'arraylist']"
How can I initialise a static Map?,1190,"['java', 'dictionary', 'collections', 'initialization', 'idioms']"
How to create a generic array in Java?,1172,"['java', 'arrays', 'generics', 'reflection', 'instantiation']"
How to install Java 8 on Mac,1170,"['java', 'macos', 'java-8', 'installation']"
What are the possible values of the Hibernate hbm2ddl.auto configuration and what do they do,1170,"['java', 'hibernate', 'hbm2ddl']"
"Can't execute jar- file: ""no main manifest attribute""",1165,"['java', 'jar', 'manifest', 'main']"
Which @NotNull Java annotation should I use?,1153,"['java', 'nullpointerexception', 'null', 'annotations', 'ide']"
Converting 'ArrayList<String> to 'String[]' in Java,1151,"['java', 'arrays', 'string', 'arraylist', 'collections']"
Converting array to list in Java,1136,"['java', 'arrays', 'list', 'data-conversion']"
How can I pad an integer with zeros on the left?,1126,"['java', 'formatting', 'zero-pad']"
"Download a file with Android, and showing the progress in a ProgressDialog",1096,"['java', 'android', 'download', 'android-asynctask']"
